Cluster Name,RA,DEC,l,b,Rsun,ERsun,R_GC,RV,ERV,mualpha,mu_delta,rhopmrade,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,RAPO
NGC_6293,257.5425,-26.582083,357.62,7.834,9.19,0.28,1.60,-143.66,0.39,0.865,0.020,-4.330  0.020  -0.04,-0.92,0.28,-0.38,0.01,1.25,0.04,117.36,0.42,126.19,1.07,-151.88,1.07,0.44  0.13,2.79   0.39
Gran_2,257.89,-24.849,359.229,8.586,15.84,1.55,7.85,53.22,1.67,0.227,0.027,-2.568  0.022  -0.02,-7.48,1.53,-0.21,0.02,2.36,0.23,-80.46,1.69,103.84,1.79,-108.8,1.92,3.80  0.59,8.39   1.49
NGC_6304,258.634399,-29.462028,355.826,5.376,6.15,0.15,2.19,-108.62,0.39,-4.073,0.012,-1.089  0.011   0.05,2.07,0.15,-0.45,0.01,0.58,0.01,110.98,0.39,166.2,0.32,75.17,0.33,1.56  0.13,2.70   0.14
NGC_6316,259.155417,-28.140111,357.175,5.764,11.15,0.39,3.16,99.65,0.84,-4.974,0.028,-4.605  0.027   0.08,-2.9,0.38,-0.55,0.02,1.12,0.04,-85.27,0.85,-102.1,1.44,92.58,1.46,0.87  0.21,3.85   0.50
NGC_6341,259.280762,43.135944,68.338,34.859,8.50,0.07,9.85,-120.55,0.27,-4.934,0.012,-0.630  0.012   0.13,5.6,0.02,6.48,0.05,4.86,0.04,22.97,0.46,39.48,0.37,98.27,0.42,1.25  0.02,10.62   0.05
NGC_6325,259.496327,-23.767677,0.971,8.003,7.53,0.32,1.28,29.54,0.58,-8.288,0.029,-8.987  0.028   0.17,0.72,0.32,0.13,0.01,1.05,0.04,-38.92,0.59,-179.39,1.02,73.6,1.02,1.05  0.03,1.31   0.13
NGC_6333,259.799086,-18.516257,5.544,10.705,8.30,0.14,1.73,310.75,2.12,-2.179,0.009,-3.213  0.008   0.07,0.06,0.14,0.79,0.01,1.54,0.03,-329.48,2.06,129.7,0.38,66.52,0.51,1.22  0.02,6.14   0.12
NGC_6342,260.291573,-19.587659,4.898,9.725,8.01,0.23,1.54,115.75,0.9,-2.915,0.013,-7.106  0.013  -0.07,0.31,0.23,0.67,0.02,1.35,0.04,-158.75,0.89,-22.34,0.49,-29.08,0.52,0.84  0.09,1.66   0.04
NGC_6356,260.895804,-17.813027,6.724,10.22,15.66,0.92,7.86,48.18,1.82,-3.769,0.011,-3.410  0.010   0.03,-7.12,0.9,1.8,0.11,2.78,0.16,-83.82,1.79,-106.31,0.76,111.08,0.82,3.62  1.13,8.99   1.26
NGC_6355,260.993533,-26.352827,359.585,5.429,8.65,0.22,0.93,-195.85,0.55,-4.732,0.015,-0.558  0.014   0.27,-0.44,0.22,-0.06,0.0,0.82,0.02,198.82,0.55,126.39,0.6,136.36,0.62,0.79  0.08,1.50   0.26
NGC_6352,261.371277,-48.422169,341.421,-7.166,5.54,0.07,3.51,-125.63,1.01,-2.169,0.008,-4.430  0.008   0.17,2.96,0.07,-1.75,0.02,-0.69,0.01,149.96,0.96,170.76,0.37,6.51,0.24,3.09  0.02,3.94   0.07
IC_1257,261.785431,-7.093056,16.528,15.145,26.59,1.43,19.27,-137.97,2.04,-1.029,0.025,-1.490  0.019   0.24,-16.43,1.32,7.3,0.39,6.95,0.37,55.77,2.11,-5.13,2.57,-13.47,2.87,1.03  0.24,20.07   1.37
Ter_2,261.887917,-30.802333,356.319,2.298,7.75,0.33,0.74,133.46,0.69,-2.142,0.030,-6.255  0.027   0.21,0.45,0.32,-0.5,0.02,0.31,0.01,-131.58,0.7,9.08,1.03,-49.5,1.08,0.16  0.03,0.86   0.22
NGC_6366,261.934357,-5.079861,18.409,16.036,3.44,0.05,5.23,-120.65,0.19,-0.342,0.008,-5.155  0.008   0.20,5.04,0.05,1.05,0.02,0.95,0.01,65.24,0.18,147.16,0.14,-62.03,0.14,2.24  0.04,5.70   0.04
Ter_4,262.662506,-31.595528,356.024,1.308,7.59,0.31,0.82,-48.96,1.57,-5.364,0.035,-3.674  0.031   0.21,0.61,0.31,-0.53,0.02,0.17,0.01,54.76,1.56,39.76,1.17,94.74,1.22,0.19  0.04,0.85   0.19
HP_1,262.771667,-29.981667,357.425,2.115,7.00,0.14,1.26,39.76,1.22,2.500,0.028,-10.049  0.027   0.17,1.19,0.14,-0.31,0.01,0.26,0.01,-49.6,1.22,16.99,0.89,-243.09,0.91,0.72  0.13,1.67   0.11
FSR_1758,262.8,-39.808,349.217,-3.292,11.09,0.74,3.46,227.31,0.59,-2.875,0.008,2.509  0.007   0.08,-2.69,0.72,-2.07,0.14,-0.64,0.04,-250.44,0.58,235.01,0.39,192.45,0.39,3.63  0.62,13.22   3.42
